iz11_code,iz11_name,Civic Assets score,Civic Assets rank,Connectedness score,Connectedness rank,Engaged Community score,Engaged Community rank,Community Needs Index score,Community Needs Index rank,Left Behind Area?
S02001477,Doon Valley North,1.96541953086853,1,97.431510925293,36,112.80436706543,37,247.690231323242,1,TRUE
S02002114,Ardrossan North East,1.23129343986511,55,121.597198486328,6,106.440460205078,49,229.780670166016,2,TRUE
S02002105,Irvine Castlepark North,1.02458918094635,108,95.2660140991211,41,131.230194091797,21,207.895721435547,3,TRUE
S02001479,Drongan,1.61225116252899,9,75.3214263916016,140,104.726150512695,57,205.98371887207,4,FALSE
S02002116,Saltcoats North East,0.815453410148621,178,117.378265380859,8,106.410438537598,51,203.890380859375,5,FALSE
S02001838,Leuchars and Guardbridge,1.82816684246063,2,107.742813110352,17,40.7877769470215,570,201.513275146484,6,FALSE
S02002102,Irvine Bourtreehill,0.22432367503643,519,118.647262573242,7,135.208343505859,13,200.898284912109,7,TRUE
S02002040,"Braeside, Branchton, Lower Larkfield and Ravenscraig",1.16400337219238,70,102.396530151367,23,93.1240844726562,105,197.749114990234,8,TRUE
S02002101,Irvine Broomlands,0.604573786258698,284,91.9644012451172,54,145.277160644531,7,193.831985473633,9,FALSE
S02002104,Irvine Perceton and Lawthorn,1.10662615299225,87,84.1348495483399,97,122.934280395508,27,192.907318115234,10,FALSE
S02002121,Kilwinning West and Blacklands,0.0953229740262032,600,98.2988433837891,35,159.31428527832,2,190.292922973633,11,TRUE
S02001493,Shortlees,1.33456420898438,34,60.9551963806152,299,126.100021362305,23,188.234802246094,12,TRUE
S02002500,Armadale,1.44796514511108,18,102.858322143555,22,47.0927581787109,484,187.125091552734,13,FALSE
S02002118,Stevenston Hayocks,0.882297337055206,148,78.9980087280274,122,134.055862426758,15,185.159317016602,14,TRUE
S02002120,Kilwinning Pennyburn,-0.0745988413691521,723,111.060981750488,12,122.319213867188,29,178.72477722168,15,FALSE
S02002050,Port Glasgow Upper East,0.682087063789368,241,72.8742141723633,171,147.441528320313,5,176.859268188477,16,TRUE
S02002036,Inverkip and Wemyss Bay,1.28480923175812,47,107.758316040039,16,44.197338104248,531,174.776916503906,17,FALSE
S02002132,Kilbirnie South and Longbar,0.871195733547211,154,58.7302169799805,322,149.027770996094,4,173.883392333984,18,TRUE
S02002190,Caldercruix and Plains,0.536374926567078,322,95.8869400024414,40,107.930404663086,46,173.279510498047,19,TRUE
S02002041,"Lower Bow and Larkfield, Fancy Farm, Mallard Bowl",-0.0380276292562485,707,91.8649597167969,55,142.485229492188,9,171.325347900391,20,TRUE
S02001498,Dean and New Farm Loch North,1.10233592987061,88,65.3108367919922,238,114.010437011719,35,170.084167480469,21,FALSE
S02001500,Altonhill North and Onthank,0.986501038074493,113,60.3949813842774,304,131.936569213867,20,167.858291625977,22,TRUE
S02001489,Darvel,1.77358162403107,3,71.2931365966797,185,53.8535461425781,385,167.286514282227,23,FALSE
S02001423,Lochside and Lincluden,1.67024612426758,5,54.2465133666992,374,80.6375122070313,177,166.532028198242,24,TRUE
S02001772,Kelty West,0.693388223648071,233,98.7066497802734,34,91.0539703369141,111,166.394561767578,25,FALSE
S02001739,Oakley Comrie and Blairhall,1.21620559692383,58,99.1615905761719,30,47.4651641845703,477,165.054656982422,26,FALSE
S02001491,Galston,1.61055219173431,10,73.2586212158203,164,57.5124702453613,352,164.511138916016,27,TRUE
S02002501,Armadale South,1.60091924667358,11,74.2208557128906,153,55.8930587768555,365,164.288558959961,28,TRUE
S02002126,West Kilbride and Seamill,1.39488351345062,25,88.6096801757813,75,46.6181869506836,491,162.301376342773,29,FALSE
S02001775,Ballingry,1.00801980495453,112,92.9084243774414,49,70.5206146240234,241,159.425888061523,30,TRUE
S02001485,Auchinleck,1.044842004776,101,79.4862976074219,118,88.4779739379883,128,158.153381347656,31,TRUE
S02001395,Menstrie,1.65588092803955,7,66.7717132568359,224,51.7269744873047,410,157.366287231445,32,FALSE
S02002154,Carfin and Cleekhimin,0.664861917495728,248,61.7108383178711,290,134.789291381836,14,156.619232177734,33,TRUE
